label,text
spam,Congratulations! You've won a $1000 Walmart gift card. Go to http://bit.ly/win to claim now.
spam,URGENT: Your mobile number has been selected for a $500 prize. Call 09061901234 to claim.
spam,WINNER!! You have been selected to receive a £800 prize. Reply WIN to 80086 to claim now.
spam,Free entry in 2 a weekly competition to win FA Cup final tickets. Text FA to 87121.
spam,You have 1 new message. Call +44712894716 to retrieve it. Cost £1.50/min.
spam,Get a FREE iPhone 15 today! Just enter your details at free-iphone.gift and pay only $2 shipping.
spam,Your package is held at customs. Pay $19.99 release fee: http://post-tracking.xyz
spam,"Dear customer, your bank account is suspended. Verify immediately: http://secure-bank-login.tk"
spam,Double your bitcoins in 24 hours! Send 0.1 BTC to bc1qxyz and receive 0.2 back guaranteed.
spam,Hot singles in your area want to meet you! Click here: dating-now.bid
spam,FREE entry! You have been specially selected to win a luxury holiday. Reply YES to 83332.
spam,You've been charged $499.99 for an Amazon order you didn't make. Cancel at amzn-refund.online
spam,Act now! Limited time offer: 90% off all luxury watches. shop-dealz.ru
spam,Your PayPal account has unusual activity. Reset your password here: paypal-verifyaccount.com
spam,Loan approved! You qualify for $5000 with no credit check. Apply now at fastcashloan.win
spam,Congratulations Ur awarded either a CD player or 4 tickets to a concert. Call 09061101234.
spam,Please call 09061209465 to claim your free holiday. Costs £1.50/min. 18+ only.
spam,You are a winner of a Nokia phone. Reply CLAIM to 82555 (£3/text). T&Cs apply.
spam,"As a valued customer, you've been selected to receive a $500 Amazon voucher. Click win-voucher.click"
spam,Verify your Apple ID immediately or your account will be locked: apple-id-secure.icu
spam,URGENT UPDATE: Your iCloud storage is full and your photos will be deleted in 24h. Verify now.
spam,You have won a $1000 gift card. Claim within 24 hours at reward-claim.top
spam,Burger King free meal voucher. Show this code at any store: BK-FREE-2024.
spam,Your subscription to PremiumTV is active. $39.99/month. Cancel: premiumtv-cancel.xyz
spam,Get rich working from home! Earn $5000/week. Sign up: workathome-money.net
spam,FREE RINGTONE! Text TONE to 80082 to get the latest hits on your phone (£3 each).
spam,You have been pre-approved for a Platinum Credit Card with $10000 limit. Apply: card-preapprove.win
spam,Attention! Microsoft Windows license expiring. Renew for $9.99 at ms-license-renew.online
spam,Your parcel could not be delivered. Reschedule & pay redelivery fee: post-uk-redelivery.top
spam,"Congratulations, you have been chosen for a free vacation to the Bahamas! claim-trip.win"
spam,Win a brand new car! Just text CAR to 80808 (£5/msg).
spam,You've been billed $999.99 for Norton Antivirus. Refund available: norton-refund-support.tk
spam,Get your free $200 casino bonus! Play now: casinobonus-big.win
spam,Your Netflix subscription is suspended due to payment failure. Update billing: netflx-billing.icu
spam,Increase your website traffic 500%! Buy SEO services cheap at trafficboost.ru
spam,Limited time! Lose 30 lbs in 30 days with this miracle pill. keto-blast.shop
spam,Click here to claim your $1000 Walmart voucher before it expires!
spam,You have been selected for a $250 reward. Click reward250.win to claim.
